# Generated on: 2025-06-28T03:22:18.487Z
# Search Parameters: {"propertyValue":550000,"downPayment":20000,"loanAmount":530000,"creditScore":698,"propertyType":"single_family","occupancy":"primary","zipCode":"44121"}
# File Type: mortgage_rates

Lender,Rate,APR,Payment,Points,Upfront_Costs,Loan_Type,Quote_Type
Rocket Pro,5.750%,6.399%,"$3,829.332",-0.06999999999999318,"$10,281.4",VA,Wholesale
HomeBridge Wholesale,5.750%,6.549%,"$3,829.332",0.894,"$16,357.4",VA,Wholesale
Open Mortgage,5.750%,6.577%,"$3,829.332",-0.145,"$17,508.2",VA,Wholesale
The Loan Store LLC,5.750%,6.672%,"$3,829.332",0.25,"$21,299",VA,Wholesale
AFR Wholesale,5.750%,6.721%,"$3,829.332",2.4950000000000045,"$23,257",VA,Wholesale
Jet Advantage Mortgage,5.750%,6.769%,"$3,829.332",0.6020000000000039,"$25,127.9",VA,Wholesale
Forward Lending,5.750%,6.769%,"$3,829.332",0.6020000000000039,"$25,127.9",VA,Wholesale
"VIP Mortgage, Inc.",5.750%,6.107%,"$3,182.946",-0.8319999999999936,"$3,152.7",VA,Wholesale
NexBank,5.750%,6.129%,"$3,182.946",-0.551879999999997,"$4,380.5",VA,Wholesale
Pennymac TPO,5.750%,6.153%,"$3,182.946",-0.55,"$5,699.9",VA,Wholesale
Loan Factory Direct - PennyMac,5.750%,6.153%,"$3,182.946",-0.55,"$5,699.9",VA,Wholesale
Kind Lending,5.750%,6.162%,"$3,182.946",-0.1953,"$6,189.1",VA,Wholesale
Loan Factory Direct - Kind Lending,5.750%,6.162%,"$3,182.946",-0.1953,"$6,189.1",VA,Wholesale
AFR Wholesale,5.750%,6.169%,"$3,182.946",-0.5559999999999974,"$6,616.1",VA,Wholesale
CMG Financial,5.750%,6.170%,"$3,182.946",-0.231,"$6,676.2",VA,Wholesale
NewRez LLC,5.750%,6.185%,"$3,182.946",-0.592,"$7,472.5",VA,Wholesale
JMAC Lending Inc.,5.750%,6.195%,"$3,182.946",0.12215,"$8,056.8",VA,Wholesale
Sun West Mtg Co Wholesale,5.750%,6.219%,"$3,182.946",0.51312,"$9,371.2",VA,Wholesale
Loan United Wholesale,5.750%,6.224%,"$3,182.946",0.03300000000000125,"$9,616",VA,Wholesale
Loan Factory Direct - Rocket,5.750%,6.228%,"$3,182.946",-0.14499999999999602,"$9,872.3",VA,Wholesale
Rocket Pro,5.750%,6.228%,"$3,182.946",-0.14499999999999602,"$9,872.3",VA,Wholesale
TPO GO,5.750%,6.288%,"$3,182.946",-0.0030000000000001137,"$13,101.2",VA,Wholesale
HomeBridge Wholesale,5.750%,6.297%,"$3,182.946",0.894,"$13,630.3",VA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.750%,6.336%,"$3,182.946",0.176,"$15,713.8",VA,Wholesale
Open Mortgage,5.750%,6.344%,"$3,182.946",-0.395,"$16,144.7",VA,Wholesale
Orion Lending,5.750%,6.365%,"$3,182.946",0.188,"$17,279.2",VA,Wholesale
The Loan Store LLC,5.750%,6.373%,"$3,182.946",-0.4069999999999965,"$17,715.5",VA,Wholesale
Jet Advantage Mortgage,5.750%,6.449%,"$3,182.946",-0.022999999999996135,"$21,719",VA,Wholesale
Forward Lending,5.750%,6.449%,"$3,182.946",-0.022999999999996135,"$21,719",VA,Wholesale
Union Home Mortgage,5.750%,6.699%,"$3,182.946",0.7489999999999952,"$34,656.4",VA,Wholesale
Guaranteed Rate,5.750%,6.301%,"$4,758.57",-0.386,"$10,752.87",Conventional,Retail
"Mutual of Omaha Mortgage, Inc.",5.750%,5.959%,"$3,082",0,"$12,052",VA,Retail
"New American Funding, LLC.",5.750%,6.364%,"$4,737",0,N/A,Conventional,Retail
"New American Funding, LLC.",5.750%,6.620%,"$6,148",0,N/A,Conventional,Retail
PenFed Credit Union,5.750%,6.032%,"$3,082",0.75,"$16,307",VA,Retail
"New American Funding, LLC.",5.750%,6.072%,"$3,082",1.384,"$18,660",VA,Retail
PenFed Credit Union,5.750%,6.447%,"$4,060",1.375,"$9,255",Conventional,Retail
"New American Funding, LLC.",5.750%,6.518%,"$4,060",2.342,"$12,366",Conventional,Retail
Chase Bank,5.875%,6.187%,"$4,369.986",0.8539999999999999,"$5,104.12",Conventional,Retail
Us Bank,5.875%,6.644%,"$10,177.06",0.875,"$10,180.45",Conventional,Retail
Us Bank,5.875%,6.080%,"$3,744.78",0.773,"$7,372.31",Conventional,Retail
Alliant Credit Union,5.875%,6.046%,"$3,123.32",0,"$9,636",VA,Retail
Sage Home Loans,5.875%,6.077%,"$3,190.47",0,"$11,352",VA,Retail
"New American Funding, LLC.",5.875%,6.074%,"$2,928",0.906,"$19,357.7",Conventional,Retail
CMG Financial,5.875%,6.286%,"$3,868.357",-1.408,$256.5,VA,Wholesale
Everstream Mortgage,5.875%,6.306%,"$3,868.357",0.7292000000000058,"$1,113.9",VA,Wholesale
Sun West Mtg Co Wholesale,5.875%,6.326%,"$3,868.357",-0.84563,"$1,960.2",VA,Wholesale
Pennymac TPO,5.875%,6.351%,"$3,868.357",-1.044,"$3,005.5",VA,Wholesale
Loan Factory Direct - PennyMac,5.875%,6.351%,"$3,868.357",-1.044,"$3,005.5",VA,Wholesale
NexBank,5.875%,6.364%,"$3,868.357",-0.7080100000000016,"$3,528.9",VA,Wholesale
Kind Lending,5.875%,6.414%,"$3,868.357",-0.30365,"$5,598.1",VA,Wholesale
Loan Factory Direct - Kind Lending,5.875%,6.414%,"$3,868.357",-0.30365,"$5,598.1",VA,Wholesale
NewRez LLC,5.875%,6.456%,"$3,868.357",-0.611,"$7,368.9",VA,Wholesale
Loan Factory Direct - Rocket,5.875%,6.475%,"$3,868.357",-0.46399999999999864,"$8,132.4",VA,Wholesale
Rocket Pro,5.875%,6.475%,"$3,868.357",-0.46399999999999864,"$8,132.4",VA,Wholesale
AFR Wholesale,5.875%,6.555%,"$3,868.357",0.32200000000000273,"$11,405",VA,Wholesale
HomeBridge Wholesale,5.875%,6.606%,"$3,868.357",0.362,"$13,455.7",VA,Wholesale
Open Mortgage,5.875%,6.645%,"$3,868.357",-0.6,"$15,026.6",VA,Wholesale
The Loan Store LLC,5.875%,6.784%,"$3,868.357",0.125,"$20,617.2",VA,Wholesale
Jet Advantage Mortgage,5.875%,6.890%,"$3,868.357",0.534000000000006,"$24,757",VA,Wholesale
Forward Lending,5.875%,6.890%,"$3,868.357",0.534000000000006,"$24,757",VA,Wholesale
CMG Financial,5.875%,6.183%,"$3,226.389",-1.408,$256.5,VA,Wholesale
