# Generated on: 2025-06-27T22:26:37.051Z
# Search Parameters: {"propertyValue":650000,"downPayment":150000,"creditScore":750,"propertyType":"single_family","occupancy":"primary","zipCode":"44053"}
# File Type: mortgage_rates

Lender,Rate,APR,Payment,Points,Upfront_Costs,Loan_Type,Quote_Type
BluePoint Mortgage,5.375%,5.878%,"$4,056.379",-0.829,"$16,042.8",Conventional,Wholesale
"VIP Mortgage, Inc.",5.375%,5.889%,"$4,056.379",-0.634680000000003,"$16,364.6",Conventional,Wholesale
Power TPO,5.375%,5.896%,"$4,056.379",-0.652000000000001,"$16,578.2",Conventional,Wholesale
Click n' Close,5.375%,5.898%,"$4,056.379",-0.67591,"$16,658.8",Conventional,Wholesale
New Wave Lending Group,5.375%,5.911%,"$4,056.379",-0.625,"$17,063.8",Conventional,Wholesale
"National Mortgage Service, Inc. (NMSI)",5.375%,5.911%,"$4,056.379",-0.625,"$17,063.8",Conventional,Wholesale
Loan Factory Direct - Rocket,5.375%,5.914%,"$4,056.379",-0.2079999999999984,"$17,148.9",Conventional,Wholesale
Rocket Pro,5.375%,5.914%,"$4,056.379",-0.2079999999999984,"$17,148.9",Conventional,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.375%,5.915%,"$4,056.379",-0.252,"$17,178.8",Conventional,Wholesale
The Loan Store LLC,5.375%,5.915%,"$4,056.379",-0.8020000000000067,"$17,178.9",Conventional,Wholesale
AD Mortgage,5.375%,5.917%,"$4,056.379",-0.5879999999999939,"$17,249",Conventional,Wholesale
AFR Wholesale,5.375%,5.924%,"$4,056.379",-0.38299999999999557,"$17,469.2",Conventional,Wholesale
Loan United Wholesale,5.375%,5.925%,"$4,056.379",-0.4129999999999967,"$17,499.2",Conventional,Wholesale
Plaza Home Mortgage Inc.,5.375%,5.928%,"$4,056.379",-0.39851,"$17,571.8",Conventional,Wholesale
AmWest Funding Corp,5.375%,5.935%,"$4,056.379",-0.476,"$17,809.5",Conventional,Wholesale
Kind Lending,5.375%,5.937%,"$4,056.379",-0.26315,"$17,873.8",Conventional,Wholesale
Loan Factory Direct - Kind Lending,5.375%,5.937%,"$4,056.379",-0.26315,"$17,873.8",Conventional,Wholesale
Nations Direct Mortgage,5.375%,5.947%,"$4,056.379",-0.207,"$18,154.9",Conventional,Wholesale
Eleven Mortgage,5.375%,5.953%,"$4,056.379",0.704,"$18,340",Conventional,Wholesale
Pennymac TPO,5.375%,5.963%,"$4,056.379",-0.316,"$18,660.3",Conventional,Wholesale
Loan Factory Direct - PennyMac,5.375%,5.963%,"$4,056.379",-0.316,"$18,660.3",Conventional,Wholesale
JMAC Lending Inc.,5.375%,5.973%,"$4,056.379",-0.24225,"$18,979.4",Conventional,Wholesale
NexBank,5.375%,5.982%,"$4,056.379",-0.29205000000000325,"$19,265.7",Conventional,Wholesale
Windsor Mortgage Solutions,5.375%,6.001%,"$4,056.379",-0.07075000000000387,"$19,837.8",Conventional,Wholesale
Orion Lending,5.375%,6.015%,"$4,056.379",-0.138,"$20,251.9",Conventional,Wholesale
TPO GO,5.375%,6.031%,"$4,056.379",0.33499999999999375,"$20,742.4",Conventional,Wholesale
HomeBridge Wholesale,5.375%,6.057%,"$4,056.379",0.272,"$21,553.3",Conventional,Wholesale
Union Home Mortgage,5.375%,6.068%,"$4,056.379",0.33799999999999386,"$21,883.6",Conventional,Wholesale
AFR Wholesale,5.375%,5.856%,"$4,127.36",-0.965999999999994,$763.9,FHA,Wholesale
NewRez LLC,5.375%,5.857%,"$4,127.36",-0.949,$794.4,FHA,Wholesale
Rocket Pro,5.375%,5.862%,"$4,127.36",-1.0589999999999975,$962.6,FHA,Wholesale
Loan Factory Direct - PennyMac,5.375%,5.887%,"$4,127.36",-0.852,"$1,762",FHA,Wholesale
Pennymac TPO,5.375%,5.887%,"$4,127.36",-0.852,"$1,762",FHA,Wholesale
"VIP Mortgage, Inc.",5.375%,5.902%,"$4,127.36",-1.0879999999999939,"$2,240.8",FHA,Wholesale
Click n' Close,5.375%,5.907%,"$4,127.36",-0.99827,"$2,392.1",FHA,Wholesale
Eleven Mortgage,5.375%,5.910%,"$4,127.36",-1.10598,"$2,505.7",FHA,Wholesale
Plaza Home Mortgage Inc.,5.375%,5.943%,"$4,127.36",-0.57713,"$3,543.8",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.375%,5.946%,"$4,127.36",-0.47975,"$3,657.7",FHA,Wholesale
Kind Lending,5.375%,5.946%,"$4,127.36",-0.47975,"$3,657.7",FHA,Wholesale
Sun West Mtg Co Wholesale,5.375%,5.958%,"$4,127.36",-0.73062,"$4,035.3",FHA,Wholesale
AD Mortgage,5.375%,5.960%,"$4,127.36",-0.6440000000000055,"$4,094.5",FHA,Wholesale
Jet Advantage Mortgage,5.375%,5.966%,"$4,127.36",-0.08400000000000318,"$4,272.7",FHA,Wholesale
Forward Lending,5.375%,5.966%,"$4,127.36",-0.08400000000000318,"$4,272.7",FHA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.375%,5.973%,"$4,127.36",-0.416,"$4,491.7",FHA,Wholesale
